"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 2023",5.30,17.60,10.40,2.00,8.20,0.70,11.80,0.00,2.50,5.30,7.90
"JUN 2023",5.60,13.30,6.80,3.90,9.00,6.90,12.60,1.10,5.60,5.60,13.70
"SEP 2023",8.80,15.50,15.20,6.70,15.10,8.60,14.00,3.70,3.70,8.80,8.30
"DIC 2023",8.00,12.10,4.40,7.60,10.30,5.70,14.10,7.00,7.70,8.00,10.00
"MAR 2024",5.10,14.80,12.60,2.30,8.50,2.40,17.70,-0.30,2.10,5.10,5.60
"JUN 2024",6.80,14.10,10.10,4.80,12.00,7.90,16.30,1.50,5.90,6.80,13.10
"SEP 2024",7.10,15.10,1.30,6.10,13.70,10.00,16.70,2.50,2.60,7.10,11.00
"DIC 2024",10.00,12.80,9.70,9.40,15.20,6.60,29.10,7.40,10.00,10.00,4.40
"MAR 2025",4.10,12.40,2.60,2.50,12.30,3.10,18.10,-1.00,4.70,4.10,6.40
"JUN 2025",6.70,10.40,4.10,6.10,16.20,9.10,23.70,1.60,6.70,6.60,10.40
"SEP 2025",7.70,12.10,5.20,7.00,21.30,10.20,23.40,1.60,7.00,7.70,8.80
"DIC 2025",8.80,11.70,10.70,7.90,15.00,6.10,17.80,6.10,5.40,8.70,11.60
"FUENTE","","","","","","","","","","",""
"NOTAS","","","","","","","","","","",""
