"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"JUN 2019",5.50,9.20,8.30,4.50,10.50,6.60,22.90,1.10,-0.20,5.50,6.90
"SEP 2019",6.20,9.60,7.80,5.50,12.00,7.90,23.60,1.80,0.30,6.20,8.20
"DIC 2019",10.30,11.10,10.30,10.30,17.80,7.40,25.60,8.30,3.80,10.40,8.60
"MAR 2020",1.30,9.90,-5.60,0.40,2.20,-0.30,16.10,-1.00,0.00,1.30,3.70
"JUN 2020",1.70,8.80,-5.20,1.20,2.10,-3.00,13.80,1.00,1.10,1.70,4.90
"SEP 2020",2.30,8.80,-3.30,1.60,3.70,-2.90,14.50,1.30,2.00,2.30,5.00
"DIC 2020",6.20,10.20,1.10,5.90,6.50,-2.90,14.60,7.60,5.80,6.20,5.20
"MAR 2021",1.60,9.90,6.50,-0.40,4.30,-5.30,11.90,-1.20,2.00,1.60,4.60
"JUN 2021",2.90,8.90,8.00,1.20,5.80,-3.40,12.70,0.40,2.90,2.90,6.50
"SEP 2021",3.50,9.80,6.90,1.90,7.50,-1.70,12.80,0.80,2.90,3.50,7.20
"DIC 2021",5.80,11.10,7.40,4.60,8.80,-0.90,13.20,4.50,6.10,5.80,7.30
"MAR 2022",2.80,5.80,12.80,1.00,10.80,-2.90,11.40,-1.00,4.10,2.80,6.60
"JUN 2022",5.20,6.90,22.40,2.90,12.40,0.10,13.20,0.70,5.60,5.20,7.80
"SEP 2022",6.00,12.30,15.80,3.50,13.60,1.60,14.00,1.00,7.80,6.00,7.80
"DIC 2022",7.90,14.30,16.60,5.50,13.20,2.50,16.60,3.60,9.00,7.90,8.10
"MAR 2023",5.30,17.60,10.40,2.00,8.20,0.70,11.80,0.00,2.50,5.30,7.90
"JUN 2023",6.00,15.90,8.80,3.50,8.80,4.30,12.30,1.30,4.30,6.00,10.80
"SEP 2023",7.80,16.30,11.20,5.70,11.50,5.80,12.90,3.70,4.40,7.80,10.00
"DIC 2023",9.30,16.10,10.00,7.80,12.20,5.80,14.50,6.70,8.40,9.30,10.20
"MAR 2024",5.10,14.80,12.60,2.30,8.50,2.40,17.70,-0.30,2.10,5.10,5.60
"JUN 2024",6.50,14.60,11.70,4.20,10.40,5.80,17.30,1.40,4.50,6.50,9.50
"SEP 2024",7.20,15.80,8.40,5.20,11.80,7.20,17.30,2.30,4.00,7.10,10.00
"DIC 2024",10.10,15.30,9.60,9.10,14.30,7.20,24.50,7.30,6.20,10.10,8.80
"MAR 2025",4.10,12.40,2.60,2.50,12.30,3.10,18.10,-1.00,4.70,4.10,6.40
"JUN 2025",6.10,11.40,3.50,5.20,14.70,6.90,22.30,1.40,6.20,6.10,8.40
"SEP 2025",6.90,12.00,4.20,6.10,17.10,8.10,22.80,1.80,6.60,6.90,9.20
"DIC 2025",9.10,12.60,6.80,8.70,17.90,7.80,23.20,5.80,7.40,9.10,10.20
"FUENTE","","","","","","","","","","",""
"NOTAS","","","","","","","","","","",""
