"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"SEP 2017",11.00,12.80,7.20,12.60,5.50,33.20,25.00,6.80,6.10,11.00,9.10
"DIC 2017",10.90,12.40,7.60,12.30,5.30,32.60,25.20,4.70,5.50,10.90,9.00
"MAR 2018",9.70,13.90,5.60,10.60,5.10,26.30,22.90,3.20,3.20,9.70,7.10
"JUN 2018",10.50,14.60,6.70,11.50,5.30,30.00,23.80,5.70,4.60,10.50,9.60
"SEP 2018",10.70,14.70,6.70,11.70,5.20,32.00,24.40,3.40,4.20,10.70,9.80
"DIC 2018",10.40,14.50,6.60,11.40,5.00,31.60,24.30,0.70,4.00,10.50,9.00
"MAR 2019",9.90,15.50,6.30,10.00,4.90,23.50,22.10,1.60,3.80,10.00,6.20
"JUN 2019",10.30,16.30,5.90,10.90,5.00,28.10,23.00,3.60,2.50,10.30,8.30
"SEP 2019",10.70,17.00,5.60,11.60,5.20,30.20,23.40,4.90,1.90,10.70,9.10
"DIC 2019",10.60,16.70,5.70,11.60,5.40,29.20,23.90,2.90,1.60,10.70,9.00
"MAR 2020",8.20,17.90,2.10,8.00,3.40,15.30,22.60,0.40,1.10,8.20,6.50
"JUN 2020",7.90,18.60,1.90,7.20,3.70,8.80,22.00,-3.60,2.20,7.90,7.60
"SEP 2020",8.30,18.80,2.70,7.60,4.20,9.40,22.90,-4.70,2.50,8.30,8.00
"DIC 2020",8.40,18.90,3.10,7.50,4.30,9.20,22.00,-3.40,3.00,8.40,8.00
"MAR 2021",8.60,17.30,7.10,6.40,4.10,1.30,20.00,-2.80,2.60,8.60,7.90
"JUN 2021",8.80,16.60,7.00,7.10,4.40,8.20,20.40,-4.10,3.20,8.80,8.70
"SEP 2021",9.10,16.30,6.50,8.00,4.90,13.50,20.30,-1.80,3.30,9.10,9.10
"DIC 2021",8.90,15.80,6.10,7.80,4.70,15.90,19.50,-3.10,3.50,8.90,9.20
"MAR 2022",7.60,8.10,7.40,7.50,5.60,7.90,18.70,0.10,4.80,7.60,8.90
"JUN 2022",8.70,9.80,9.50,7.90,5.00,15.10,19.50,2.30,5.00,8.70,8.80
"SEP 2022",9.00,12.90,7.50,8.20,5.00,18.40,19.80,2.60,5.20,9.00,8.70
"DIC 2022",9.20,14.40,6.90,8.30,4.60,20.50,20.10,4.90,4.90,9.20,9.10
"MAR 2023",10.10,19.70,6.60,8.20,4.60,16.10,20.30,5.40,3.30,10.10,7.80
"JUN 2023",10.30,20.30,6.00,9.20,4.70,22.20,20.60,6.40,4.50,10.30,9.20
"SEP 2023",10.80,20.20,6.70,10.00,5.20,24.90,21.00,8.70,4.10,10.80,8.90
"DIC 2023",10.30,19.30,6.10,9.70,5.00,24.90,20.30,7.60,4.40,10.30,9.00
"MAR 2024",10.70,22.00,7.60,8.90,4.90,19.20,20.70,2.90,3.50,10.70,7.60
"JUN 2024",11.10,24.00,7.00,9.90,5.30,23.80,20.90,6.00,4.40,11.10,10.10
"SEP 2024",11.00,23.80,5.80,10.50,5.50,26.00,20.70,8.10,4.00,11.00,10.40
"DIC 2024",10.90,22.30,5.80,10.50,5.60,25.90,20.30,7.90,5.40,10.90,10.00
"MAR 2025",9.30,18.50,4.30,9.40,5.80,20.30,20.40,-0.70,5.60,9.30,8.30
"JUN 2025",9.90,20.10,3.90,10.60,6.10,25.40,20.80,3.40,5.90,9.90,9.30
"SEP 2025",10.40,20.40,4.10,11.20,6.70,27.40,20.70,3.40,5.60,10.40,10.10
"DIC 2025",10.20,19.80,4.30,10.80,6.40,26.90,19.40,4.60,5.60,10.10,10.90
"FUENTE","","","","","","","","","","",""
"NOTAS","","","","","","","","","","",""
