pais,año,indice_quiebras_eurostat
France,2018,85.9
France,2019,75.3
France,2020,46.2
France,2021,39.8
France,2022,65.8
France,2023,86.0
Croatia,2015,100.0
Croatia,2016,333.4
Croatia,2017,228.1
Croatia,2018,169.4
Croatia,2019,137.6
Croatia,2020,88.9
Croatia,2021,107.7
Croatia,2022,129.7
Croatia,2023,101.6
Hungary,2015,
Hungary,2016,
Hungary,2017,
Hungary,2018,
Hungary,2019,
Hungary,2020,
Hungary,2021,44.4
Hungary,2022,81.7
Hungary,2023,143.1
Iceland,2015,100.0
Iceland,2016,145.0
Iceland,2017,107.5
Iceland,2018,195.0
Iceland,2019,157.5
Iceland,2020,115.0
Iceland,2021,122.5
Iceland,2022,80.0
Iceland,2023,112.5
Italy,2015,100.0
Italy,2016,92.9
Italy,2017,76.9
Italy,2018,70.8
Italy,2019,73.8
Italy,2020,51.3
Italy,2021,51.5
Italy,2022,40.1
Italy,2023,47.1
Lithuania,2015,100.0
Lithuania,2016,132.5
Lithuania,2017,144.7
Lithuania,2018,89.3
Lithuania,2019,82.0
Lithuania,2020,55.8
Lithuania,2021,44.2
Lithuania,2022,47.6
Lithuania,2023,54.9
Luxembourg,2015,100.0
Luxembourg,2016,69.6
Luxembourg,2017,43.5
Luxembourg,2018,87.0
Luxembourg,2019,52.2
Luxembourg,2020,82.6
Luxembourg,2021,56.5
Luxembourg,2022,65.2
Luxembourg,2023,43.5
Latvia,2015,100.0
Latvia,2016,89.8
Latvia,2017,75.5
Latvia,2018,91.8
Latvia,2019,89.8
Latvia,2020,45.9
Latvia,2021,31.6
Latvia,2022,38.8
Latvia,2023,28.6
Malta,2015,100.0
Malta,2016,50.0
Malta,2017,0.0
Malta,2018,0.0
Malta,2019,50.0
Malta,2020,100.0
Malta,2021,0.0
Malta,2022,0.0
Malta,2023,0.0
Netherlands,2015,100.0
Netherlands,2016,91.8
Netherlands,2017,68.4
Netherlands,2018,68.4
Netherlands,2019,68.9
Netherlands,2020,56.4
Netherlands,2021,28.6
Netherlands,2022,40.0
Netherlands,2023,65.6
Norway,2015,100.0
Norway,2016,104.4
Norway,2017,94.5
Norway,2018,102.2
Norway,2019,100.0
Norway,2020,92.3
Norway,2021,71.6
Norway,2022,87.4
Norway,2023,103.3
Poland,2015,100.0
Poland,2016,78.2
Poland,2017,61.7
Poland,2018,74.6
Poland,2019,70.5
Poland,2020,64.2
Poland,2021,49.7
Poland,2022,46.6
Poland,2023,54.4
Portugal,2015,100.0
Portugal,2016,75.7
Portugal,2017,72.6
Portugal,2018,71.7
Portugal,2019,79.4
Portugal,2020,76.8
Portugal,2021,55.4
Portugal,2022,43.7
Portugal,2023,64.6
Romania,2015,100.0
Romania,2016,42.2
Romania,2017,40.6
Romania,2018,54.9
Romania,2019,65.3
Romania,2020,57.9
Romania,2021,94.4
Romania,2022,32.0
Romania,2023,30.6
Slovenia,2015,100.0
Slovenia,2016,111.5
Slovenia,2017,121.6
Slovenia,2018,116.2
Slovenia,2019,85.1
Slovenia,2020,77.0
Slovenia,2021,78.4
Slovenia,2022,52.7
Slovenia,2023,66.9
Slovakia,2015,100.0
Slovakia,2016,84.5
Slovakia,2017,186.2
Slovakia,2018,524.1
Slovakia,2019,625.9
Slovakia,2020,431.0
Slovakia,2021,339.7
Slovakia,2022,287.9
Slovakia,2023,332.8
Austria,2019,176.7
Austria,2020,105.7
Austria,2021,100.0
Austria,2022,159.1
Austria,2023,173.9
Austria,2024,232.4
Austria,2025,222.7
Belgium,2015,175.8
Belgium,2016,147.4
Belgium,2017,154.3
Belgium,2018,144.3
Belgium,2019,160.2
Belgium,2020,105.2
Belgium,2021,100.0
Belgium,2022,149.8
Belgium,2023,165.1
Belgium,2024,172.0
Belgium,2025,175.1
Bulgaria,2015,171.8
Bulgaria,2016,139.7
Bulgaria,2017,164.9
Bulgaria,2018,124.1
Bulgaria,2019,133.3
Bulgaria,2020,124.1
Bulgaria,2021,100.0
Bulgaria,2022,146.6
Bulgaria,2023,94.3
Bulgaria,2024,91.4
Bulgaria,2025,66.1
Cyprus,2015,425.0
Cyprus,2016,100.0
Cyprus,2017,100.0
Cyprus,2018,25.0
Cyprus,2019,150.0
Cyprus,2020,125.0
Cyprus,2021,100.0
Cyprus,2022,0.0
Cyprus,2023,50.0
Cyprus,2024,25.0
Cyprus,2025,25.0
Czechia,2021,100.0
Czechia,2022,111.4
Czechia,2023,118.9
Czechia,2024,133.7
Czechia,2025,157.0
Germany,2015,179.4
Germany,2016,163.6
Germany,2017,164.4
Germany,2018,143.6
Germany,2019,151.0
Germany,2020,139.4
Germany,2021,100.0
Germany,2022,111.4
Germany,2023,134.7
Germany,2024,170.3
Germany,2025,189.5
Denmark,2015,70.2
Denmark,2016,82.4
Denmark,2017,81.2
Denmark,2018,88.4
Denmark,2019,111.6
Denmark,2020,74.6
Denmark,2021,100.0
Denmark,2022,100.3
Denmark,2023,96.0
Denmark,2024,78.6
Denmark,2025,82.9
Euro area - 19 countries  (2015-2022),2015,188.1
Euro area - 19 countries  (2015-2022),2016,170.2
Euro area - 19 countries  (2015-2022),2017,158.1
Euro area - 19 countries  (2015-2022),2018,154.1
Euro area - 19 countries  (2015-2022),2019,155.7
Euro area - 19 countries  (2015-2022),2020,117.0
Euro area - 19 countries  (2015-2022),2021,100.0
Euro area - 19 countries  (2015-2022),2022,111.5
Euro area - 19 countries  (2015-2022),2023,138.5
Euro area – 20 countries (2023-2025),2015,186.7
Euro area – 20 countries (2023-2025),2016,172.3
Euro area – 20 countries (2023-2025),2017,158.6
Euro area – 20 countries (2023-2025),2018,153.9
Euro area – 20 countries (2023-2025),2019,155.2
Euro area – 20 countries (2023-2025),2020,116.6
Euro area – 20 countries (2023-2025),2021,100.0
Euro area – 20 countries (2023-2025),2022,116.0
Euro area – 20 countries (2023-2025),2023,145.6
Euro area – 20 countries (2023-2025),2024,166.1
Euro area – 20 countries (2023-2025),2025,175.5
Euro area – 21 countries (from 2026),2015,186.4
Euro area – 21 countries (from 2026),2016,171.6
Euro area – 21 countries (from 2026),2017,158.8
Euro area – 21 countries (from 2026),2018,153.3
Euro area – 21 countries (from 2026),2019,154.7
Euro area – 21 countries (from 2026),2020,116.7
Euro area – 21 countries (from 2026),2021,100.0
Euro area – 21 countries (from 2026),2022,116.6
Euro area – 21 countries (from 2026),2023,144.6
Euro area – 21 countries (from 2026),2024,164.7
Euro area – 21 countries (from 2026),2025,173.4
Estonia,2015,169.2
Estonia,2016,207.7
Estonia,2017,176.9
Estonia,2018,130.8
Estonia,2019,169.2
Estonia,2020,238.5
Estonia,2021,100.0
Estonia,2022,161.5
Estonia,2023,269.2
Estonia,2024,261.5
Estonia,2025,184.6
Greece,2021,
Greece,2022,
Greece,2023,271.4
Greece,2024,207.1
Greece,2025,414.3
Spain,2015,91.1
Spain,2016,72.2
Spain,2017,78.7
Spain,2018,78.2
Spain,2019,87.0
Spain,2020,72.2
Spain,2021,100.0
Spain,2022,130.1
Spain,2023,127.1
Spain,2024,140.5
Spain,2025,142.1
European Union - 27 countries (from 2020),2015,184.1
European Union - 27 countries (from 2020),2016,162.7
European Union - 27 countries (from 2020),2017,148.1
European Union - 27 countries (from 2020),2018,147.0
European Union - 27 countries (from 2020),2019,147.6
European Union - 27 countries (from 2020),2020,113.7
European Union - 27 countries (from 2020),2021,100.0
European Union - 27 countries (from 2020),2022,112.3
European Union - 27 countries (from 2020),2023,138.5
European Union - 27 countries (from 2020),2024,153.0
European Union - 27 countries (from 2020),2025,162.5
Finland,2020,87.3
Finland,2021,100.0
Finland,2022,105.0
Finland,2023,114.0
Finland,2024,125.8
Finland,2025,133.0
France,2015,251.2
France,2016,227.4
France,2017,214.4
France,2018,215.8
France,2019,189.2
France,2020,115.9
France,2021,100.0
France,2022,164.6
France,2023,216.2
France,2024,234.6
France,2025,242.5
Croatia,2015,92.9
Croatia,2016,309.7
Croatia,2017,211.9
Croatia,2018,157.3
Croatia,2019,127.8
Croatia,2020,82.5
Croatia,2021,100.0
Croatia,2022,120.5
Croatia,2023,94.4
Croatia,2024,109.3
Croatia,2025,88.1
Hungary,2015,
Hungary,2016,
Hungary,2017,
Hungary,2018,
Hungary,2019,
Hungary,2020,
Hungary,2021,100.0
Hungary,2022,184.0
Hungary,2023,322.3
Hungary,2024,257.5
Hungary,2025,234.8
Iceland,2015,83.3
Iceland,2016,120.8
Iceland,2017,89.6
Iceland,2018,162.5
Iceland,2019,131.3
Iceland,2020,95.8
Iceland,2021,100.0
Iceland,2022,66.7
Iceland,2023,97.9
Iceland,2024,102.1
Iceland,2025,85.4
Italy,2015,194.3
Italy,2016,180.5
Italy,2017,149.4
Italy,2018,137.5
Italy,2019,143.4
Italy,2020,99.7
Italy,2021,100.0
Italy,2022,77.9
Italy,2023,91.6
Italy,2024,106.9
Italy,2025,110.2
Lithuania,2015,226.4
Lithuania,2016,300.0
Lithuania,2017,327.5
Lithuania,2018,202.2
Lithuania,2019,185.7
Lithuania,2020,126.4
Lithuania,2021,100.0
Lithuania,2022,107.7
Lithuania,2023,124.2
Lithuania,2024,147.3
Lithuania,2025,134.1
Luxembourg,2015,176.9
Luxembourg,2016,123.1
Luxembourg,2017,76.9
Luxembourg,2018,153.8
Luxembourg,2019,92.3
Luxembourg,2020,146.2
Luxembourg,2021,100.0
Luxembourg,2022,115.4
Luxembourg,2023,76.9
Luxembourg,2024,100.0
Luxembourg,2025,130.8
Latvia,2015,312.5
Latvia,2016,281.3
Latvia,2017,234.4
Latvia,2018,281.3
Latvia,2019,275.0
Latvia,2020,140.6
Latvia,2021,100.0
Latvia,2022,118.8
Latvia,2023,87.5
Latvia,2024,140.6
Latvia,2025,118.8
Montenegro,2021,100.0
Montenegro,2022,107.9
Montenegro,2023,71.1
Montenegro,2024,76.3
Montenegro,2025,
North Macedonia,2020,73.5
North Macedonia,2021,100.0
North Macedonia,2022,97.1
North Macedonia,2023,123.5
North Macedonia,2024,123.5
North Macedonia,2025,120.6
Malta,2015,200.0
Malta,2016,100.0
Malta,2017,0.0
Malta,2018,0.0
Malta,2019,100.0
Malta,2020,200.0
Malta,2021,100.0
Malta,2022,0.0
Malta,2023,0.0
Malta,2024,0.0
Malta,2025,0.0
Netherlands,2015,350.0
Netherlands,2016,321.3
Netherlands,2017,239.3
Netherlands,2018,239.3
Netherlands,2019,241.0
Netherlands,2020,197.5
Netherlands,2021,100.0
Netherlands,2022,140.2
Netherlands,2023,228.7
Netherlands,2024,316.4
Netherlands,2025,258.2
Norway,2015,139.7
Norway,2016,145.8
Norway,2017,132.1
Norway,2018,142.7
Norway,2019,139.7
Norway,2020,129.0
Norway,2021,100.0
Norway,2022,122.1
Norway,2023,144.3
Norway,2024,146.6
Norway,2025,131.3
Poland,2015,201.0
Poland,2016,157.3
Poland,2017,124.0
Poland,2018,150.0
Poland,2019,141.7
Poland,2020,129.2
Poland,2021,100.0
Poland,2022,93.8
Poland,2023,109.4
Poland,2024,106.3
Poland,2025,122.9
Portugal,2015,180.3
Portugal,2016,136.6
Portugal,2017,131.0
Portugal,2018,129.2
Portugal,2019,143.2
Portugal,2020,138.6
Portugal,2021,100.0
Portugal,2022,78.9
Portugal,2023,116.5
Portugal,2024,141.5
Portugal,2025,107.9
Romania,2015,105.9
Romania,2016,44.7
Romania,2017,43.0
Romania,2018,58.2
Romania,2019,69.1
Romania,2020,61.3
Romania,2021,100.0
Romania,2022,33.9
Romania,2023,32.4
Romania,2024,33.4
Romania,2025,35.2
Serbia,2021,
Serbia,2022,
Serbia,2023,
Serbia,2024,
Serbia,2025,
Sweden,2021,100.0
Sweden,2022,104.2
Sweden,2023,116.4
Sweden,2024,160.6
Sweden,2025,159.7
Slovenia,2015,127.6
Slovenia,2016,142.2
Slovenia,2017,155.2
Slovenia,2018,148.3
Slovenia,2019,108.6
Slovenia,2020,98.3
Slovenia,2021,100.0
Slovenia,2022,67.2
Slovenia,2023,85.3
Slovenia,2024,93.1
Slovenia,2025,102.6
Slovakia,2015,29.4
Slovakia,2016,24.9
Slovakia,2017,54.8
Slovakia,2018,154.3
Slovakia,2019,184.3
Slovakia,2020,126.9
Slovakia,2021,100.0
Slovakia,2022,84.8
Slovakia,2023,98.0
Slovakia,2024,111.7
Slovakia,2025,126.9
Ukraine,2021,100.0
Ukraine,2022,57.9
Ukraine,2023,105.3
Ukraine,2024,95.5
Ukraine,2025,109.0
Kosovo*,2021,100.0
Kosovo*,2022,102.7
Kosovo*,2023,112.1
Kosovo*,2024,118.8
Kosovo*,2025,105.4
Austria,2020,-40.2
Austria,2021,-5.4
Austria,2022,59.1
Austria,2023,9.3
Austria,2024,33.6
Austria,2025,-4.2
Belgium,2015,-17.7
Belgium,2016,-16.2
Belgium,2017,4.7
Belgium,2018,-6.5
Belgium,2019,11.0
Belgium,2020,-34.3
Belgium,2021,-4.9
Belgium,2022,49.8
Belgium,2023,10.2
Belgium,2024,4.2
Belgium,2025,1.8
Bulgaria,2015,2.4
Bulgaria,2016,-18.7
Bulgaria,2017,18.0
Bulgaria,2018,-24.7
Bulgaria,2019,7.4
Bulgaria,2020,-6.9
Bulgaria,2021,-19.4
Bulgaria,2022,46.6
Bulgaria,2023,-35.7
Bulgaria,2024,-3.1
Bulgaria,2025,-27.7
Cyprus,2016,-76.5
Cyprus,2017,0.0
Cyprus,2018,-75.0
Cyprus,2019,500.0
Cyprus,2020,-16.7
Cyprus,2021,-20.0
Cyprus,2024,-50.0
Cyprus,2025,0.0
Czechia,2022,11.4
Czechia,2023,6.7
Czechia,2024,12.4
Czechia,2025,17.4
Germany,2015,-4.4
Germany,2016,-8.8
Germany,2017,0.5
Germany,2018,-12.7
Germany,2019,5.2
Germany,2020,-7.7
Germany,2021,-28.3
Germany,2022,11.4
Germany,2023,20.9
Germany,2024,26.4
Germany,2025,11.3
Denmark,2015,3.8
Denmark,2016,17.4
Denmark,2017,-1.5
Denmark,2018,8.9
Denmark,2019,26.2
Denmark,2020,-33.2
Denmark,2021,34.0
Denmark,2022,0.3
Denmark,2023,-4.3
Denmark,2024,-18.1
Denmark,2025,5.5
Euro area - 19 countries  (2015-2022),2015,-9.3
Euro area - 19 countries  (2015-2022),2016,-9.5
Euro area - 19 countries  (2015-2022),2017,-7.1
Euro area - 19 countries  (2015-2022),2018,-2.5
Euro area - 19 countries  (2015-2022),2019,1.0
Euro area - 19 countries  (2015-2022),2020,-24.9
Euro area - 19 countries  (2015-2022),2021,-14.5
Euro area - 19 countries  (2015-2022),2022,11.5
Euro area - 19 countries  (2015-2022),2023,24.2
Euro area – 20 countries (2023-2025),2015,-9.3
Euro area – 20 countries (2023-2025),2016,-7.7
Euro area – 20 countries (2023-2025),2017,-8.0
Euro area – 20 countries (2023-2025),2018,-3.0
Euro area – 20 countries (2023-2025),2019,0.8
Euro area – 20 countries (2023-2025),2020,-24.9
Euro area – 20 countries (2023-2025),2021,-14.2
Euro area – 20 countries (2023-2025),2022,16.0
Euro area – 20 countries (2023-2025),2023,25.5
Euro area – 20 countries (2023-2025),2024,14.1
Euro area – 20 countries (2023-2025),2025,5.7
Euro area – 21 countries (from 2026),2015,-9.1
Euro area – 21 countries (from 2026),2016,-7.9
Euro area – 21 countries (from 2026),2017,-7.5
Euro area – 21 countries (from 2026),2018,-3.5
Euro area – 21 countries (from 2026),2019,0.9
Euro area – 21 countries (from 2026),2020,-24.6
Euro area – 21 countries (from 2026),2021,-14.3
Euro area – 21 countries (from 2026),2022,16.6
Euro area – 21 countries (from 2026),2023,24.0
Euro area – 21 countries (from 2026),2024,13.9
Euro area – 21 countries (from 2026),2025,5.3
Estonia,2015,-18.5
Estonia,2016,22.8
Estonia,2017,-14.8
Estonia,2018,-26.1
Estonia,2019,29.4
Estonia,2020,41.0
Estonia,2021,-58.1
Estonia,2022,61.5
Estonia,2023,66.7
Estonia,2024,-2.9
Estonia,2025,-29.4
Greece,2022,
Greece,2023,
Greece,2024,-23.7
Greece,2025,100.0
Spain,2015,-38.8
Spain,2016,-20.7
Spain,2017,9.0
Spain,2018,-0.6
Spain,2019,11.3
Spain,2020,-17.0
Spain,2021,38.5
Spain,2022,30.1
Spain,2023,-2.3
Spain,2024,10.5
Spain,2025,1.1
European Union - 27 countries (from 2020),2015,-12.1
European Union - 27 countries (from 2020),2016,-11.6
European Union - 27 countries (from 2020),2017,-9.0
European Union - 27 countries (from 2020),2018,-0.7
European Union - 27 countries (from 2020),2019,0.4
European Union - 27 countries (from 2020),2020,-23.0
European Union - 27 countries (from 2020),2021,-12.0
European Union - 27 countries (from 2020),2022,12.3
European Union - 27 countries (from 2020),2023,23.3
European Union - 27 countries (from 2020),2024,10.5
European Union - 27 countries (from 2020),2025,6.2
Finland,2021,14.5
Finland,2022,5.0
Finland,2023,8.6
Finland,2024,10.4
Finland,2025,5.7
France,2015,-1.8
France,2016,-9.5
France,2017,-5.7
France,2018,0.7
France,2019,-12.3
France,2020,-38.7
France,2021,-13.7
France,2022,64.6
France,2023,31.3
France,2024,8.5
France,2025,3.4
Croatia,2016,233.4
Croatia,2017,-31.6
Croatia,2018,-25.8
Croatia,2019,-18.8
Croatia,2020,-35.4
Croatia,2021,21.2
Croatia,2022,20.5
Croatia,2023,-21.7
Croatia,2024,15.8
Croatia,2025,-19.4
Hungary,2016,
Hungary,2017,
Hungary,2018,
Hungary,2019,
Hungary,2020,
Hungary,2021,
Hungary,2022,84.0
Hungary,2023,75.2
Hungary,2024,-20.1
Hungary,2025,-8.8
Iceland,2015,-24.5
Iceland,2016,45.0
Iceland,2017,-25.8
Iceland,2018,81.4
Iceland,2019,-19.2
Iceland,2020,-27.0
Iceland,2021,4.4
Iceland,2022,-33.3
Iceland,2023,46.8
Iceland,2024,4.3
Iceland,2025,-16.4
Italy,2015,-10.6
Italy,2016,-7.1
Italy,2017,-17.2
Italy,2018,-8.0
Italy,2019,4.3
Italy,2020,-30.5
Italy,2021,0.3
Italy,2022,-22.1
Italy,2023,17.6
Italy,2024,16.7
Italy,2025,3.1
Lithuania,2015,11.4
Lithuania,2016,32.5
Lithuania,2017,9.2
Lithuania,2018,-38.3
Lithuania,2019,-8.2
Lithuania,2020,-31.9
Lithuania,2021,-20.9
Lithuania,2022,7.7
Lithuania,2023,15.3
Lithuania,2024,18.6
Lithuania,2025,-9.0
Luxembourg,2015,4.6
Luxembourg,2016,-30.4
Luxembourg,2017,-37.5
Luxembourg,2018,100.0
Luxembourg,2019,-40.0
Luxembourg,2020,58.4
Luxembourg,2021,-31.6
Luxembourg,2022,15.4
Luxembourg,2023,-33.4
Luxembourg,2024,30.0
Luxembourg,2025,30.8
Latvia,2016,-10.0
Latvia,2017,-16.7
Latvia,2018,20.0
Latvia,2019,-2.2
Latvia,2020,-48.9
Latvia,2021,-28.9
Latvia,2022,18.8
Latvia,2023,-26.3
Latvia,2024,60.7
Latvia,2025,-15.5
Montenegro,2022,7.9
Montenegro,2023,-34.1
Montenegro,2024,7.3
Montenegro,2025,
North Macedonia,2021,36.1
North Macedonia,2022,-2.9
North Macedonia,2023,27.2
North Macedonia,2024,0.0
North Macedonia,2025,-2.3
Malta,2016,-50.0
Malta,2020,100.0
Malta,2021,-50.0
Netherlands,2015,-28.5
Netherlands,2016,-8.2
Netherlands,2017,-25.5
Netherlands,2018,0.0
Netherlands,2019,0.7
Netherlands,2020,-18.0
Netherlands,2021,-49.4
Netherlands,2022,40.2
Netherlands,2023,63.1
Netherlands,2024,38.3
Netherlands,2025,-18.4
Norway,2016,4.4
Norway,2017,-9.4
Norway,2018,8.0
Norway,2019,-2.1
Norway,2020,-7.7
Norway,2021,-22.5
Norway,2022,22.1
Norway,2023,18.2
Norway,2024,1.6
Norway,2025,-10.4
Poland,2015,-7.2
Poland,2016,-21.7
Poland,2017,-21.2
Poland,2018,21.0
Poland,2019,-5.5
Poland,2020,-8.8
Poland,2021,-22.6
Poland,2022,-6.2
Poland,2023,16.6
Poland,2024,-2.8
Poland,2025,15.6
Portugal,2015,160.2
Portugal,2016,-24.2
Portugal,2017,-4.1
Portugal,2018,-1.4
Portugal,2019,10.8
Portugal,2020,-3.2
Portugal,2021,-27.8
Portugal,2022,-21.1
Portugal,2023,47.7
Portugal,2024,21.5
Portugal,2025,-23.7
Romania,2016,-57.8
Romania,2017,-3.8
Romania,2018,35.3
Romania,2019,18.7
Romania,2020,-11.3
Romania,2021,63.1
Romania,2022,-66.1
Romania,2023,-4.4
Romania,2024,3.1
Romania,2025,5.4
Serbia,2022,
Serbia,2023,
Serbia,2024,
Serbia,2025,
Sweden,2022,4.2
Sweden,2023,11.7
Sweden,2024,38.0
Sweden,2025,-0.6
Slovenia,2016,11.4
Slovenia,2017,9.1
Slovenia,2018,-4.4
Slovenia,2019,-26.8
Slovenia,2020,-9.5
Slovenia,2021,1.7
Slovenia,2022,-32.8
Slovenia,2023,26.9
Slovenia,2024,9.1
Slovenia,2025,10.2
Slovakia,2016,-15.3
Slovakia,2017,120.1
Slovakia,2018,181.6
Slovakia,2019,19.4
Slovakia,2020,-31.1
Slovakia,2021,-21.2
Slovakia,2022,-15.2
Slovakia,2023,15.6
Slovakia,2024,14.0
Slovakia,2025,13.6
Ukraine,2022,-42.1
Ukraine,2023,81.9
Ukraine,2024,-9.3
Ukraine,2025,14.1
Kosovo*,2022,2.7
Kosovo*,2023,9.2
Kosovo*,2024,6.0
Kosovo*,2025,-11.3
Belgium,2015,100.0
Belgium,2016,94.2
Belgium,2017,102.7
Belgium,2018,101.6
Belgium,2019,108.2
Belgium,2020,73.5
Belgium,2021,66.6
Belgium,2022,94.7
Belgium,2023,104.9
Bulgaria,2015,100.0
Bulgaria,2016,102.2
Bulgaria,2017,126.7
Bulgaria,2018,118.0
Bulgaria,2019,129.3
Bulgaria,2020,107.9
Bulgaria,2021,116.0
Bulgaria,2022,131.9
Bulgaria,2023,109.3
Cyprus,2015,100.0
Cyprus,2016,58.7
Cyprus,2017,53.3
Cyprus,2018,38.0
Cyprus,2019,43.5
Cyprus,2020,35.9
Cyprus,2021,32.6
Cyprus,2022,20.7
Cyprus,2023,16.3
Germany,2015,100.0
Germany,2016,93.1
Germany,2017,87.0
Germany,2018,83.5
Germany,2019,81.1
Germany,2020,68.6
Germany,2021,60.5
Germany,2022,63.2
Germany,2023,76.2
Denmark,2015,100.0
Denmark,2016,156.7
Denmark,2017,162.1
Denmark,2018,187.4
Denmark,2019,228.2
Denmark,2020,152.3
Denmark,2021,236.0
Denmark,2022,221.8
Denmark,2023,196.7
Euro area - 19 countries  (2015-2022),2015,100.0
Euro area - 19 countries  (2015-2022),2016,89.2
Euro area - 19 countries  (2015-2022),2017,85.9
Euro area - 19 countries  (2015-2022),2018,91.0
Euro area - 19 countries  (2015-2022),2019,92.4
Euro area - 19 countries  (2015-2022),2020,69.5
Euro area - 19 countries  (2015-2022),2021,78.8
Euro area - 19 countries  (2015-2022),2022,89.5
Euro area - 19 countries  (2015-2022),2023,99.7
Euro area – 20 countries (2023-2025),2015,100.0
Euro area – 20 countries (2023-2025),2016,92.1
Euro area – 20 countries (2023-2025),2017,87.9
Euro area – 20 countries (2023-2025),2018,92.3
Euro area – 20 countries (2023-2025),2019,93.3
Euro area – 20 countries (2023-2025),2020,70.1
Euro area – 20 countries (2023-2025),2021,79.7
Euro area – 20 countries (2023-2025),2022,90.5
Euro area – 20 countries (2023-2025),2023,100.2
Estonia,2015,100.0
Estonia,2016,107.4
Estonia,2017,96.3
Estonia,2018,89.6
Estonia,2019,103.7
Estonia,2020,105.9
Estonia,2021,73.3
Estonia,2022,67.4
Estonia,2023,102.2
Spain,2015,100.0
Spain,2016,83.1
Spain,2017,82.7
Spain,2018,83.8
Spain,2019,91.0
Spain,2020,84.4
Spain,2021,164.7
Spain,2022,218.6
Spain,2023,210.8
European Union - 27 countries (from 2020),2015,100.0
European Union - 27 countries (from 2020),2016,89.6
European Union - 27 countries (from 2020),2017,85.8
European Union - 27 countries (from 2020),2018,90.7
European Union - 27 countries (from 2020),2019,92.1
European Union - 27 countries (from 2020),2020,70.9
European Union - 27 countries (from 2020),2021,78.6
European Union - 27 countries (from 2020),2022,86.7
European Union - 27 countries (from 2020),2023,98.0
France,2015,100.0
France,2016,91.6
France,2017,85.5
France,2018,85.0
France,2019,80.6
France,2020,49.1
France,2021,43.1
France,2022,65.3
France,2023,89.1
Croatia,2015,100.0
Croatia,2016,462.6
Croatia,2017,337.8
Croatia,2018,250.8
Croatia,2019,197.5
Croatia,2020,146.5
Croatia,2021,191.6
Croatia,2022,211.7
Croatia,2023,164.5
Hungary,2015,
Hungary,2016,
Hungary,2017,
Hungary,2018,
Hungary,2019,
Hungary,2020,
Hungary,2021,44.1
Hungary,2022,81.6
Hungary,2023,208.2
Iceland,2015,100.0
Iceland,2016,175.6
Iceland,2017,127.9
Iceland,2018,174.9
Iceland,2019,138.3
Iceland,2020,131.0
Iceland,2021,159.6
Iceland,2022,66.7
